nom_entreprise;adresse;code_postal;ville;telephone;email;site_web;note_google;nb_avis;segment;source
Laiterie de Paris;"
74 Rue des Poissonniers, 75018 Paris, France";75018;Paris;01 42 59 44 64;;;4.5;4;Commerces de proximite;Google Maps
Les fromages de Gambetta;"
259 Rue des Pyrénées, 75020 Paris, France";75020;Paris;06 22 76 03 19;;;4.8;4;Commerces de proximite;Google Maps
Fromagerie La Fontaine;"
75 Rue Jean de la Fontaine, 75016 Paris, France";75016;Paris;01 42 88 07 55;;;4.8;4;Commerces de proximite;Google Maps
Corner du Fromager;"
130 Rue de la ROQUETTE, 56 Rue Godefroy Cavaignac, 75011 Paris, France";75011;Paris;01 43 56 12 40;;;4.9;4;Commerces de proximite;Google Maps
Crème;"
6 Rue Julien Lacroix, 75020 Paris, France";75020;Paris;07 89 33 80 07;;;4.8;4;Commerces de proximite;Google Maps
Fromagerie Didot;"
108 Rue Didot, 75014 Paris, France";75014;Paris;01 45 41 00 64;;;4.8;4;Commerces de proximite;Google Maps
Boucherie Charcuterie Terroirs d'Avenir;"
85 Rue du Commerce, 75015 Paris, France";75015;Paris;01 48 28 04 41;;;4.5;4;Commerces de proximite;Google Maps
Boucherie Congre;"
11 Rue de Castellane, 75008 Paris, France";75008;Paris;01 42 65 34 10;;;4.7;4;Commerces de proximite;Google Maps
Boucherie Parisienne;"
25 Av. Secrétan, 75019 Paris, France";75019;Paris;01 42 08 88 93;;;4.6;4;Commerces de proximite;Google Maps
La Boucherie Gardil;"
44 Rue Saint-Louis en l'Île, 75004 Paris, France";75004;Paris;01 43 54 97 15;;;4.9;4;Commerces de proximite;Google Maps
La Petite Boucherie Sèvres;"
29 Rue Pierre Leroux, 75007 Paris, France";75007;Paris;01 45 67 05 21;;;4.9;4;Commerces de proximite;Google Maps
Boucherie Kachour حلال;"
168 Rue St Charles, 75015 Paris, France";75015;Paris;01 45 01 55 46;;;4.8;4;Commerces de proximite;Google Maps
Boucherie Varenne;"
33 Rue de Varenne, 75007 Paris, France";75007;Paris;01 45 48 32 68;;;4.7;4;Commerces de proximite;Google Maps
Charcuterie Billon;"
125 Rue de Vaugirard, 75015 Paris, France";75015;Paris;01 45 67 00 95;;;4.9;4;Commerces de proximite;Google Maps
La Bonbonnette Bar a Vin;"
185 Rue du Temple, 75003 Paris, France";75003;Paris;07 59 51 37 85;;;4.8;5;Bars & Cafes;Google Maps
Le Petit Pontoise;"
9 Rue de Pontoise, 75005 Paris, France";75005;Paris;01 43 29 25 20;;;4.6;4;Restaurants independants;Google Maps
Le Petit Brady - Pizzeria Paris 10;"
97 Pass. Brady, 75010 Paris, France";75010;Paris;09 81 45 99 31;;;4.8;4;Restaurants independants;Google Maps
Optical city Opticien Paris 11 Eme Oberkampf Voltaire République Lunettes Lentilles Lunettes De Soleil Optical City;"
20 Bis Bd Voltaire, 75011 Paris, France";75011;Paris;01 48 05 30 52;;;4.9;3;Opticiens & Audioprothesistes;Google Maps
L'Opticien du Marais - Opticien Lunetier Paris 4;"
41 Rue des Archives, 75004 Paris, France";75004;Paris;01 40 24 04 51;;;4.7;3;Opticiens & Audioprothesistes;Google Maps
Point Audition - Audioprothésiste Appareil Auditif - Paris 20;"
9 Rue de Ménilmontant, 75020 Paris, France";75020;Paris;01 88 61 26 00;;;5.0;5;Opticiens & Audioprothesistes;Google Maps
ALE Paris - Luxury Vintage Boutique and Custom Tailoring;"
80 Rue de Turenne, 75003 Paris, France";75003;Paris;06 87 58 22 82;;;4.6;3;Boutiques & Mode;Google Maps
Vintage by Ramin;"
64 Rue de la Verrerie, 75004 Paris, France";75004;Paris;01 40 29 03 23;;;4.1;4;Boutiques & Mode;Google Maps
kikiwaka friperie vintage;"
56 Rue des Entrepreneurs, 75015 Paris, France";75015;Paris;09 79 22 44 78;;;4.7;4;Boutiques & Mode;Google Maps
France Bijoux;7 Rue Notre Dame des Victoires, 75002 Paris, France;75002;Paris;01 45 26 46 40;;;4.9;5;Boutiques & Mode;Google Maps
Bijouterie Saint Martin;"
185 Rue du Faubourg Saint-Martin, 75010 Paris, France";75010;Paris;06 44 02 03 72;;;4.9;5;Boutiques & Mode;Google Maps
la maroquinerie des puces;"
29 Av. de la Prte de Clignancourt, 75018 Paris, France";75018;Paris;01 42 23 92 35;;;4.1;76 ;Boutiques & Mode;Google Maps
Magenta Chaussures;"
162 Bd de Magenta, 75010 Paris, France";75010;Paris;09 67 34 87 40;;;3.9;4;Boutiques & Mode;Google Maps
MIAMI CHAUSSURE;"
89 Av. d'Italie, 75013 Paris, France";75013;Paris;01 45 84 11 34;;;4.1;4;Boutiques & Mode;Google Maps
Palais de la Chaussure / Lml Tendance / Tendance des marques;"
1 Av. de la Prte de Clignancourt, 75018 Paris, France";75018;Paris;01 46 06 46 80;;;4.4;4;Boutiques & Mode;Google Maps
So Good;"
55 Rue St Denis, 75001 Paris, France";75001;Paris;01 42 21 46 00;;;2.3;4;Boutiques & Mode;Google Maps
Hype;"
104 Rue de Rennes, 75006 Paris, France";75006;Paris;01 45 44 72 91;;;4.3;4;Boutiques & Mode;Google Maps
Artisan Boulanger Pâtissier;"
28 Rue Monge, 75005 Paris, France";75005;Paris;01 42 02 70 86;;;4.8;4;Boulangeries & Patisseries;Google Maps
Leonie Bakery;"
40 Rue Lepic, 75018 Paris, France";75018;Paris;01 42 55 08 05;;;4.5;4;Boulangeries & Patisseries;Google Maps
Les Petits Mitrons;"
26 Rue Lepic, 75018 Paris, France";75018;Paris;01 46 06 10 29;;;4.7;4;Boulangeries & Patisseries;Google Maps
Boulangerie beaubourg;"
149 Rue Saint-Martin, 75003 Paris, France";75003;Paris;01 42 72 64 60;;;4.0;4;Boulangeries & Patisseries;Google Maps
La Petite Alsacienne;"
45 Rue Raymond Losserand, 75014 Paris, France";75014;Paris;01 43 21 60 59;;;4.6;4;Boulangeries & Patisseries;Google Maps
Butterfly;"
6 Rue Boissy d'Anglas, 75008 Paris, France";75008;Paris;01 44 71 15 17;;;4.8;4;Boulangeries & Patisseries;Google Maps
Aux gourmands de la place - Boulangerie Patisserie Paris 10;"
42 Rue Cadet, 75009 Paris, France";75009;Paris;01 40 35 66 29;;;4.8;4;Boulangeries & Patisseries;Google Maps
Boulangerie Du Pain et Des Idées;"
59 Rue de Charenton, 75012 Paris, France";75012;Paris;01 43 45 03 91;;;4.5;4;Boulangeries & Patisseries;Google Maps
Plaisir d'équi'thé;"
12 Bd Beaumarchais, 75011 Paris, France";75011;Paris;09 81 60 51 57;;;4.7;461 ;Boulangeries & Patisseries;Google Maps
Pharmacie Paris Rive Gauche;"
10-12 Bd Saint-Michel, 75006 Paris, France";75006;Paris;01 43 26 92 66;;;3.4;3;Pharmacies & Parapharmacies;Google Maps
Pharmacie du Palais Royal;"
164 Rue Saint-Honoré, 75001 Paris, France";75001;Paris;01 42 60 34 36;;;2.6;3;Pharmacies & Parapharmacies;Google Maps
Pharmacie PARISANTE - Paris 12;"
88 Bd Diderot, 75012 Paris, France";75012;Paris;01 43 43 82 05;;;4.2;3;Pharmacies & Parapharmacies;Google Maps
Pharmacie TGV Paris Gare de Lyon HALL 2;"
DANS LA GARE DE LYON, 4 Pl. Louis Armand Hall 2, 75012 Paris, France";75012;Paris;01 43 43 32 15;;;4.2;3;Pharmacies & Parapharmacies;Google Maps
Pharmacie Vendôme;"
8 Rue des Capucines, 75002 Paris, France";75002;Paris;01 42 61 03 07;;;3.6;3;Pharmacies & Parapharmacies;Google Maps
💊 PHARMACIE SAINT PAUL | Paris 4ème;"
71 Rue Saint-Antoine, 75004 Paris, France";75004;Paris;01 48 87 79 55;;;4.4;3;Pharmacies & Parapharmacies;Google Maps
Pharmacie de la Porte Maillot;"
68 Av. de la Grande Armée, 75017 Paris, France";75017;Paris;01 45 74 17 31;;;3.6;3;Pharmacies & Parapharmacies;Google Maps
💊 GRANDE PHARMACIE SAINT-CHARLES | 51 Rue de Reuilly Paris 12;"
51 Rue de Reuilly, 75012 Paris, France";75012;Paris;01 43 43 61 16;;;4.2;3;Pharmacies & Parapharmacies;Google Maps
Pharmacie Internationale Place Pigalle;"
5 Pl. Pigalle, 75009 Paris, France";75009;Paris;01 48 78 38 12;;;2.5;3;Pharmacies & Parapharmacies;Google Maps
💊 PHARMACIE ISRAEL MEYER | Paris;"
81 Rue de la Roquette, 75011 Paris, France";75011;Paris;01 43 79 78 54;;;3.7;3;Pharmacies & Parapharmacies;Google Maps
💊 PHARMACIE DE LA PORTE D'ASNIÈRES 7J/7 | 96 Boulevard Berthier Paris 17ème;"
96 Bd Berthier, 75017 Paris, France";75017;Paris;01 47 64 94 12;;;3.5;3;Pharmacies & Parapharmacies;Google Maps
Pharmacie Centrale du Nord;"
132 Rue La Fayette, 75010 Paris, France";75010;Paris;01 47 70 06 14;;;3.9;3;Pharmacies & Parapharmacies;Google Maps
